name,version,description,properties,format,size (MB),date,language,license,license_uri,download,link_to_script,preview_link,source_link,statistics
all.edges,20200504,A file with all edges in Wikidata.,all,kgtk (.gz),16000,5/20/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1k56ly2dyssyb9i6CNnm4r0_UHnL4uQUL/view?usp=sharing,https://drive.google.com/file/d/1Aq3HO3OJvcifG_P9XHcFpVqUjaAv01Cb/view?usp=sharing,,,
all.nodes,20200504,"A file with all nodes in Wikidata, including their English labels and aliases.",all,kgtk (.gz),2000,5/11/2020,en,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1kTiyCHgH0HSmrDUjvBCBLtCGXX6vPSPO/view?usp=sharing,https://drive.google.com/file/d/1Aq3HO3OJvcifG_P9XHcFpVqUjaAv01Cb/view?usp=sharing,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/nodes.all.txt,,
all.qualifiers,20200504,A file with all qualifiers in Wikidata.,all,kgtk (.gz),2000,5/11/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1k7Rd5UQ87FctjbXPyLIowweIYgjJtP8I/view?usp=sharing,https://drive.google.com/file/d/1Aq3HO3OJvcifG_P9XHcFpVqUjaAv01Cb/view?usp=sharing,,,
nodes.pagerank,20200504,A file with only PageRank values for each node in Wikidata.,all,kgtk (.gz),886,6/5/2020,,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1l500ihG2vNdp7VDZ8A-U2Qrry67Ua--i/view?usp=sharing,https://drive.google.com/file/d/1Aq3HO3OJvcifG_P9XHcFpVqUjaAv01Cb/view?usp=sharing,,,
edges.P31,20200504,A file with all P31 (instance-of) edges in Wikidata.,P31,kgtk (.gz),500,5/11/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1kIvzzi3jaCO4EJwwyHw-Q_hf3Ge0iG0y/view?usp=sharing,https://drive.google.com/file/d/1Aq3HO3OJvcifG_P9XHcFpVqUjaAv01Cb/view?usp=sharing,,,
all.alias.en,20200803-v2,A file with all the aliases in Wikidata in English,,kgtk (.gz),106,3/8/2020,en,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1VeD8jsq3W6xqJTDe6zetBHz_roO3oHoJ/view?usp=sharing,https://github.com/usc-isi-i2/kgtk/blob/dev/examples/Example7%20-%20Wikidata%20Outputs.ipynb,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/20200803-v2/all.alias.en.tsv.gz.sample.tsv,,
all.alias,20200803-v2,A file with all the aliases in Wikidata,,kgtk (.gz),737,3/8/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1wx1MdxTwcGFzaHnwo7x2hogZy3z6_XBk/view?usp=sharing,https://github.com/usc-isi-i2/kgtk/blob/dev/examples/Example7%20-%20Wikidata%20Outputs.ipynb,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/20200803-v2/all.alias.tsv.gz.sample.tsv,,
all.commonsMedia,20200803-v2,File with all the commonsMedia instances in Wikidata,,kgtk (.gz),105,3/8/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/10Hv6fg8R6GOFcIlMHKpmOSvtUkggToRQ/view?usp=sharing,https://github.com/usc-isi-i2/kgtk/blob/dev/examples/Example7%20-%20Wikidata%20Outputs.ipynb,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/20200803-v2/all.commonsMedia.tsv.gz.sample.tsv,,
all.description.en,20200803-v2,File with all English descriptions in Wikidata,,kgtk (.gz),989,3/8/2020,en,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/1dXqRw5hSVhVDGVHQ10nAxhsYFyucANLh/view?usp=sharing,https://github.com/usc-isi-i2/kgtk/blob/dev/examples/Example7%20-%20Wikidata%20Outputs.ipynb,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/20200803-v2/all.description.en.tsv.gz.sample.tsv,,
all.description,20200803-v2,File with all descriptions in Wikidata,,kgtk (.gz),20000,3/8/2020,all,CC-0,https://creativecommons.org/share-your-work/public-domain/cc0/,https://drive.google.com/file/d/16Fx1E_TkSOXnn3D7ErQfPT2pq5kyeNLE/view?usp=sharing,https://github.com/usc-isi-i2/kgtk/blob/dev/examples/Example7%20-%20Wikidata%20Outputs.ipynb,https://usc-isi-i2.github.io/wikidata-kgtk-releases/website/previsualization/20200803-v2/all.description.tsv.gz.sample.tsv,,
