id	node1	label	node2
Q45-description-en	Q45	description	'sovereign state in southwestern Europe'@en
Q45-description-fr	Q45	description	'pays d\\'Europe'@fr
Q45-description-it	Q45	description	'Stato membro dell\\'Unione Europea'@it
Q45-description-nl	Q45	description	'land in Zuid-Europa'@nl
Q45-description-es	Q45	description	'país de Europa'@es
Q45-description-en-gb	Q45	description	'country in Europe'@en-gb
Q45-description-nb	Q45	description	'land i Europa'@nb
Q45-description-de	Q45	description	'Staat in Südwesteuropa'@de
Q45-description-ru	Q45	description	'страна в Европе'@ru
Q45-description-zh-hans	Q45	description	'欧洲国家'@zh-hans
Q45-description-zh-hant	Q45	description	'歐洲國家'@zh-hant
Q45-description-zh-cn	Q45	description	'欧洲国家'@zh-cn
Q45-description-zh-sg	Q45	description	'欧洲国家'@zh-sg
Q45-description-zh-my	Q45	description	'欧洲国家'@zh-my
Q45-description-zh	Q45	description	'国家'@zh
Q45-description-zh-hk	Q45	description	'歐洲國家'@zh-hk
Q45-description-zh-tw	Q45	description	'歐洲國家'@zh-tw
Q45-description-zh-mo	Q45	description	'歐洲國家'@zh-mo
Q45-description-ca	Q45	description	'estat europeu situat al sud-oest d\\'Europa'@ca
