id	node1	label	node2
Q45-P1549-1	Q45	P1549	'Portugees'@nl
Q45-P1549-2	Q45	P1549	'Португалац'@sr
Q45-P1549-3	Q45	P1549	'Португалка'@sr
Q45-P1549-4	Q45	P1549	'Portuguese'@en
Q45-P1549-5	Q45	P1549	'portugál'@hu
Q45-P1549-6	Q45	P1549	'português'@pt
Q45-P1549-7	Q45	P1549	'Portugalano'@io
Q45-P1549-8	Q45	P1549	'Portugänan'@vo
Q45-P1549-9	Q45	P1549	'برتغالي'@ar
Q45-P1549-10	Q45	P1549	'برتغالية'@ar
Q45-P1549-11	Q45	P1549	'برتغاليون'@ar
Q45-P1549-12	Q45	P1549	'португалец'@ru
Q45-P1549-13	Q45	P1549	'португальцы'@ru
Q45-P1549-14	Q45	P1549	'португалка'@ru
Q45-P1549-15	Q45	P1549	'פורטוגזי'@he
Q45-P1549-16	Q45	P1549	'פורטוגזית'@he
Q45-P1549-17	Q45	P1549	'Portugis'@lb
Q45-P1549-18	Q45	P1549	'Portugisin'@lb
Q45-P1549-19	Q45	P1549	'portughezi'@ro
