id	node1	label	node2
Q45-P1082-1	Q45	P1082	+8857716
Q45-P1082-2	Q45	P1082	+8929316
Q45-P1082-3	Q45	P1082	+8993985
Q45-P1082-4	Q45	P1082	+9030355
Q45-P1082-5	Q45	P1082	+9035365
Q45-P1082-6	Q45	P1082	+8998595
Q45-P1082-7	Q45	P1082	+8930990
Q45-P1082-8	Q45	P1082	+8874520
Q45-P1082-9	Q45	P1082	+8836650
Q45-P1082-10	Q45	P1082	+8757705
Q45-P1082-11	Q45	P1082	+8680431
Q45-P1082-12	Q45	P1082	+8643756
Q45-P1082-13	Q45	P1082	+8630430
Q45-P1082-14	Q45	P1082	+8633100
Q45-P1082-15	Q45	P1082	+8754365
Q45-P1082-16	Q45	P1082	+9093470
Q45-P1082-17	Q45	P1082	+9355810
Q45-P1082-18	Q45	P1082	+9455675
Q45-P1082-19	Q45	P1082	+9558250
