id	node1	label	node2
Q45-P571-1	Q45	P571	^1143-10-05T00:00:00Z/11
Q45-P7295-1	Q45	P7295	^1582-10-15T00:00:00Z/11
Q183-P571-1	Q183	P571	^1990-10-03T00:00:00Z/11
Q183-P571-2	Q183	P571	^0843-08-10T00:00:00Z/11
Q183-P1249-1	Q183	P1249	^0919-00-00T00:00:00Z/9
Q595-P577-1	Q595	P577	^2011-09-23T00:00:00Z/11
Q595-P577-2	Q595	P577	^2012-01-05T00:00:00Z/11
Q595-P577-3	Q595	P577	^2012-05-25T00:00:00Z/11
Q716-P575-1	Q716	P575	^1791-00-00T00:00:00Z/9
Q716-P575-2	Q716	P575	^1825-00-00T00:00:00Z/9
Q801-P571-1	Q801	P571	^1948-05-14T00:00:00Z/11
Q869-P571-1	Q869	P571	^1768-12-28T00:00:00Z/11
Q869-P571-2	Q869	P571	^1238-00-00T00:00:00Z/9
Q982-P571-1	Q982	P571	^1966-00-00T00:00:00Z/9
Q1253-P569-1	Q1253	P569	^1944-06-13T00:00:00Z/11
Q1297-P571-1	Q1297	P571	^1833-08-12T00:00:00Z/11
Q1494-P571-1	Q1494	P571	^1817-12-10T00:00:00Z/11
Q1526-P569-1	Q1526	P569	^-1300-00-00T00:00:00Z/7
Q1526-P570-1	Q1526	P570	^-1290-00-00T00:00:00Z/9
