id	node1	label	node2
Q45-P1151-1	Q45	P1151	Q10815313
Q45-P30-1	Q45	P30	Q46
Q45-P36-1	Q45	P36	Q597
Q45-P38-1	Q45	P38	Q4916
Q45-P38-2	Q45	P38	Q468474
Q45-P37-1	Q45	P37	Q5146
Q45-P37-2	Q45	P37	Q13330
Q45-P35-1	Q45	P35	Q57398
Q45-P35-2	Q45	P35	Q6756617
Q45-P35-3	Q45	P35	Q156780
Q45-P35-4	Q45	P35	Q156781
Q45-P78-1	Q45	P78	Q39959
Q45-P85-1	Q45	P85	Q161049
Q45-P47-1	Q45	P47	Q29
Q45-P47-2	Q45	P47	Q5739
Q45-P31-1	Q45	P31	Q3624078
Q45-P31-2	Q45	P31	Q6256
Q45-P31-3	Q45	P31	Q20181813
Q45-P421-1	Q45	P421	Q843589
